Reflection_Index,Total_Invariant,Reflection_Time,vector_sum,mass_gap,adjacency,dot_sum
137,True,4.887580871582031e-05,True,True,True,True
138,True,4.601478576660156e-05,True,True,True,True
139,True,4.7206878662109375e-05,True,True,True,True
140,False,4.57763671875e-05,False,False,True,True
141,False,4.6253204345703125e-05,False,False,True,True
142,False,4.601478576660156e-05,False,False,True,True
143,False,4.57763671875e-05,False,False,True,True
144,False,4.6253204345703125e-05,False,False,True,True
145,False,4.506111145019531e-05,False,False,True,True
146,False,4.57763671875e-05,False,False,True,True
147,False,4.601478576660156e-05,False,False,True,True
148,False,4.601478576660156e-05,False,False,True,True
149,False,4.601478576660156e-05,False,False,True,True
150,False,4.601478576660156e-05,True,True,True,False
151,False,4.506111145019531e-05,False,False,True,True
152,False,4.601478576660156e-05,False,False,True,True
153,False,4.57763671875e-05,False,False,True,True
154,False,4.6253204345703125e-05,False,False,True,True
155,False,7.390975952148438e-05,False,False,True,True
156,False,4.506111145019531e-05,False,False,True,True
157,False,4.673004150390625e-05,False,False,True,True
158,False,4.506111145019531e-05,False,False,True,True
159,False,4.57763671875e-05,False,False,True,True
160,False,4.601478576660156e-05,False,False,True,True
161,False,4.601478576660156e-05,False,True,True,False
162,True,4.6253204345703125e-05,True,True,True,True
163,True,4.482269287109375e-05,True,True,True,True
164,True,4.506111145019531e-05,True,True,True,True
165,True,4.601478576660156e-05,True,True,True,True
166,True,4.482269287109375e-05,True,True,True,True
167,True,4.506111145019531e-05,True,True,True,True
168,True,4.601478576660156e-05,True,True,True,True
169,True,4.506111145019531e-05,True,True,True,True
170,True,4.506111145019531e-05,True,True,True,True
171,True,4.506111145019531e-05,True,True,True,True
172,True,4.601478576660156e-05,True,True,True,True
173,True,4.792213439941406e-05,True,True,True,True
174,True,4.601478576660156e-05,True,True,True,True
175,True,4.601478576660156e-05,True,True,True,True
176,True,0.0001938343048095703,True,True,True,True
177,True,0.00017595291137695312,True,True,True,True
178,False,0.0001888275146484375,False,False,True,True
179,False,7.605552673339844e-05,False,False,True,True
180,False,5.507469177246094e-05,False,False,True,True
181,False,4.982948303222656e-05,False,False,True,True
182,False,4.887580871582031e-05,False,False,True,True
183,False,4.8160552978515625e-05,False,False,True,True
184,False,4.696846008300781e-05,False,False,True,True
185,False,4.601478576660156e-05,False,False,True,True
186,False,4.7206878662109375e-05,False,False,True,True
187,False,4.57763671875e-05,False,False,True,True
188,False,4.9114227294921875e-05,False,False,True,True
189,False,4.601478576660156e-05,False,False,True,True
190,False,4.506111145019531e-05,False,False,True,True
191,False,4.6253204345703125e-05,False,False,True,True
192,False,4.601478576660156e-05,False,False,True,True
193,False,4.57763671875e-05,False,False,True,True
194,False,4.601478576660156e-05,False,False,True,True
195,False,4.506111145019531e-05,False,False,True,True
196,False,4.482269287109375e-05,False,False,True,True
197,False,4.601478576660156e-05,False,False,True,True
198,False,4.601478576660156e-05,False,False,True,True
199,False,0.00012612342834472656,False,False,True,True
200,False,7.510185241699219e-05,False,False,True,True
201,False,5.507469177246094e-05,False,False,True,True
202,False,5.125999450683594e-05,False,False,True,True
203,False,5.1975250244140625e-05,False,False,True,True
204,False,4.887580871582031e-05,False,False,True,True
205,False,4.8160552978515625e-05,False,False,True,True
206,False,4.673004150390625e-05,False,False,True,True
207,False,4.7206878662109375e-05,False,False,True,True
208,False,4.696846008300781e-05,False,False,True,True
209,False,4.696846008300781e-05,False,False,True,True
210,False,4.696846008300781e-05,False,True,True,False
211,False,4.696846008300781e-05,False,True,True,False
212,False,4.601478576660156e-05,False,True,True,False
213,False,4.601478576660156e-05,False,True,True,False
214,False,4.887580871582031e-05,False,True,True,False
215,False,4.8160552978515625e-05,False,True,True,False
216,False,4.696846008300781e-05,False,True,True,False
217,False,4.601478576660156e-05,False,True,True,False
218,False,4.792213439941406e-05,False,True,True,False
219,False,4.601478576660156e-05,False,True,True,False
220,False,4.601478576660156e-05,False,True,True,False
221,False,4.57763671875e-05,False,True,True,False
222,False,4.696846008300781e-05,False,True,True,False
223,False,4.6253204345703125e-05,False,True,True,False
224,False,4.57763671875e-05,False,True,True,False
225,False,4.601478576660156e-05,False,True,True,False
226,False,4.6253204345703125e-05,False,False,True,True
227,False,4.57763671875e-05,False,False,True,True
228,False,4.506111145019531e-05,False,True,True,False
229,False,4.601478576660156e-05,False,True,True,False
230,False,4.506111145019531e-05,False,True,True,False
231,False,4.482269287109375e-05,False,True,True,False
232,False,4.506111145019531e-05,False,True,True,False
233,False,4.506111145019531e-05,False,True,True,False
234,False,4.601478576660156e-05,False,True,True,False
235,False,4.792213439941406e-05,False,True,True,False
236,False,4.6253204345703125e-05,False,True,True,False
237,False,4.482269287109375e-05,False,True,True,False
238,False,4.601478576660156e-05,False,False,True,False
239,False,4.506111145019531e-05,False,False,True,False
