Index,x_proj,y_proj,Curvature,Torsion,RootVector
0,118.77451072942242,224.93394449642696,2.8284271247461876,True,"[-2, -2, 0, 0, 0, 0, 0, 0]"
1,146.3644486577167,197.34400656813264,2.8284271247461876,True,"[-2, 0, -2, 0, 0, 0, 0, 0]"
2,182.41243975806412,182.41243975806412,2.8284271247461876,True,"[-2, 0, 0, -2, 0, 0, 0, 0]"
3,221.43050416128978,182.41243975806412,2.8284271247461876,True,"[-2, 0, 0, 0, -2, 0, 0, 0]"
4,257.47849526163714,197.34400656813264,2.8284271247461876,True,"[-2, 0, 0, 0, 0, -2, 0, 0]"
5,285.0684331899315,224.93394449642696,2.8284271247461876,True,"[-2, 0, 0, 0, 0, 0, -2, 0]"
6,300.0,260.9819355967743,2.8284271247461876,True,"[-2, 0, 0, 0, 0, 0, 0, -2]"
7,103.8429439193539,300.00000000000006,2.8284271247461876,True,"[-2, 0, 0, 0, 0, 0, 0, 2]"
8,118.77451072942239,336.0479911003474,2.8284271247461876,True,"[-2, 0, 0, 0, 0, 0, 2, 0]"
9,146.36444865771674,363.63792902864174,2.8284271247461876,True,"[-2, 0, 0, 0, 0, 2, 0, 0]"
10,182.41243975806412,378.5694958387102,2.8284271247461876,True,"[-2, 0, 0, 0, 2, 0, 0, 0]"
11,221.43050416128978,378.5694958387102,2.8284271247461876,True,"[-2, 0, 0, 2, 0, 0, 0, 0]"
12,257.4784952616372,363.6379290286417,2.8284271247461876,True,"[-2, 0, 2, 0, 0, 0, 0, 0]"
13,285.06843318993145,336.0479911003474,2.8284271247461876,True,"[-2, 2, 0, 0, 0, 0, 0, 0]"
14,300.0,43.70845522584938,2.8284271247461876,True,"[-1, -1, -1, -1, -1, -1, -1, -1]"
15,118.77451072942239,118.77451072942242,2.8284271247461876,True,"[-1, -1, -1, -1, -1, -1, 1, 1]"
16,146.3644486577167,146.36444865771674,2.8284271247461876,True,"[-1, -1, -1, -1, -1, 1, -1, 1]"
17,161.2960154677852,182.41243975806412,2.8284271247461876,True,"[-1, -1, -1, -1, -1, 1, 1, -1]"
18,182.4124397580641,161.29601546778525,2.8284271247461876,True,"[-1, -1, -1, -1, 1, -1, -1, 1]"
19,197.3440065681326,197.3440065681326,2.8284271247461876,True,"[-1, -1, -1, -1, 1, -1, 1, -1]"
20,224.93394449642693,224.93394449642693,2.8284271247461876,True,"[-1, -1, -1, -1, 1, 1, -1, -1]"
21,43.70845522584938,300.0,2.8284271247461876,True,"[-1, -1, -1, -1, 1, 1, 1, 1]"
22,221.43050416128975,161.29601546778525,2.8284271247461876,True,"[-1, -1, -1, 1, -1, -1, -1, 1]"
23,236.36207097135826,197.3440065681326,2.8284271247461876,True,"[-1, -1, -1, 1, -1, -1, 1, -1]"
24,263.9520088996526,224.93394449642693,2.8284271247461876,True,"[-1, -1, -1, 1, -1, 1, -1, -1]"
25,82.726519629075,300.0,2.8284271247461876,True,"[-1, -1, -1, 1, -1, 1, 1, 1]"
26,300.0,239.86551130649545,2.8284271247461876,True,"[-1, -1, -1, 1, 1, -1, -1, -1]"
27,118.77451072942239,314.93156681006855,2.8284271247461876,True,"[-1, -1, -1, 1, 1, -1, 1, 1]"
28,146.36444865771674,342.52150473836286,2.8284271247461876,True,"[-1, -1, -1, 1, 1, 1, -1, 1]"
29,161.29601546778522,378.56949583871017,2.8284271247461876,True,"[-1, -1, -1, 1, 1, 1, 1, -1]"
30,257.47849526163714,146.36444865771674,2.8284271247461876,True,"[-1, -1, 1, -1, -1, -1, -1, 1]"
31,272.4100620717057,182.41243975806412,2.8284271247461876,True,"[-1, -1, 1, -1, -1, -1, 1, -1]"
32,300.0,210.00237768635841,2.8284271247461876,True,"[-1, -1, 1, -1, -1, 1, -1, -1]"
33,118.77451072942242,285.0684331899315,2.8284271247461876,True,"[-1, -1, 1, -1, -1, 1, 1, 1]"
34,336.0479911003474,224.93394449642693,2.8284271247461876,True,"[-1, -1, 1, -1, 1, -1, -1, -1]"
35,154.8225018297698,300.0,2.8284271247461876,True,"[-1, -1, 1, -1, 1, -1, 1, 1]"
36,182.41243975806412,327.5899379282943,2.8284271247461876,True,"[-1, -1, 1, -1, 1, 1, -1, 1]"
37,197.34400656813264,363.6379290286417,2.8284271247461876,True,"[-1, -1, 1, -1, 1, 1, 1, -1]"
